Open Finance Brasil - Diretório de Participantes (producao)
Fonte: https://data.directory.openbankingbrasil.org.br/participants
Snapshot obtido em: 2026-07-13
Total de organizacoes: 107

================================================================================
LISTA COMPLETA - todas as organizacoes do diretorio (ordem alfabetica)
Colunas: ISPB (RegistrationId) | Status | OrganisationName
================================================================================

(sem ISPB) | Active     | 99PAY INSTITUICAO DE PAGAMENTO S.A.
(sem ISPB) | Active     | ACCREDITO - SOCIEDADE DE CREDITO DIRETO S.A.
13140088   | Active     | ACESSO SOLUCOES PAGAMENTO SA
74014747   | Active     | AGORA CTVM S.A.
(sem ISPB) | Active     | ASA SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.
(sem ISPB) | Active     | ASAAS GESTAO FINANCEIRA INSTITUICAO DE PAGAMENTO S.A.
07707650   | Active     | AYMORE CFI S.A.
(sem ISPB) | Active     | B3 INSTITUICAO DE PAGAMENTO LTDA
04184779   | Active     | BANCO BRADESCARD
60746948   | Active     | BANCO BRADESCO SA
30306294   | Active     | BANCO BTG PACTUAL S.A.
(sem ISPB) | Active     | BANCO CSF S/A
27098060   | Active     | BANCO DIGIO
00000000   | Active     | BANCO DO BRASIL S.A.
45246410   | Active     | BANCO GENIAL S.A.
30172491   | Active     | BANCO HYUNDAI CAPITAL BRASIL
00416968   | Active     | BANCO INTER
59285411   | Active     | BANCO PAN
00795423   | Active     | BANCO SEMEAR
10664513   | Active     | BCO AGIBANK S.A.
54403563   | Active     | BCO ARBI S.A.
28127603   | Active     | BCO BANESTES S.A.
61186680   | Active     | BCO BMG S.A.
07207996   | Active     | BCO BRADESCO FINANC. S.A.
31872495   | Active     | BCO C6 S.A.
33479023   | Active     | BCO CITIBANK S.A.
61033106   | Active     | BCO CREFISA S.A.
04902979   | Active     | BCO DA AMAZONIA S.A.
13009717   | Active     | BCO DO EST. DE SE S.A.
04913711   | Active     | BCO DO EST. DO PA S.A.
92702067   | Active     | BCO DO ESTADO DO RS S.A.
07237373   | Active     | BCO DO NORDESTE DO BRASIL S.A.
31880826   | Active     | BCO GUANABARA S.A.
33042151   | Active     | BCO LA NACION ARGENTINA
33254319   | Active     | BCO LOSANGO S.A.
17184037   | Active     | BCO MERCANTIL DO BRASIL S.A.
62307848   | Active     | BCO RCI BRASIL S.A.
68900810   | Active     | BCO RENDIMENTO S.A.
00517645   | Active     | BCO RIBEIRAO PRETO S.A.
58160789   | Active     | BCO SAFRA S.A.
90400888   | Active     | BCO SANTANDER (BRASIL) S.A.
60889128   | Active     | BCO SOFISA S.A.
59588111   | Active     | BCO VOTORANTIM S.A.
33264668   | Active     | BCO XP S.A.
(sem ISPB) | Active     | Belvo Instituicao de Pagamento Ltda.
03130170   | Active     | BRASIL CARD INSTITUICAO DE PAGAMENTOS LTDA
00000208   | Active     | BRB - BCO DE BRASILIA S.A.
00360305   | Active     | CAIXA ECONOMICA FEDERAL
(sem ISPB) | Active     | CASAS BAHIA PAY INSTITUICAO DE PAGAMENTO LTDA
(sem ISPB) | Active     | CELCOIN INSTITUICAO DE PAGAMENTO S.A.
05463212   | Active     | CENTRAL AILOS
01027058   | Active     | CIELO S.A.
